miRanda;target scan;ARL6IP6
CYP3A4;EFNA3;PRMT6
TRIM15;TENM3;NRP1
IMPG2;FIGN;CNTN2
MPHOSPH9;ITSN1;CPE
NCAM1;PPP1R12A;MRPL35
HP1BP3;FAM46A;UBE3C
P4HA2;CELF4;Mar-04
ARID4B;RAB23;EDEM3
C13orf1;SCN3A;WDR27
ALG13;ATAD2B;SNRPD1
HNRNPH3;QKI;AGPAT6
SLC25A14;KMT2C;FLJ36031
TRIO;HNRNPUL2;ZFP28
CLASP1;ASXL3;CBX2
ZNF382;SLC7A6;C19orf50
TLR8;TRPS1;SDPR
EVI5;AMER1;RNF138
ABCA12;MKL2;SBK1
COL4A3BP;VPS33A;BZW2
RARB;STRIP1;STX7
PECR;SMAP1;BTBD11
SRFBP1;SRGAP3;PTBP2
CLK4;LGI1;TMEM87B
MARK3;PAPD4;PTPN20B
TTC35;ABL1;DCUN1D4
HIC2;LCOR;PPHLN1
ARHGEF9;TAB3;PGBD2
PTPN20A;SIX1;COPS7B
CALU;KCNJ12;STARD3
CYP2C9;EPC1;DOCK7
LIPH;OTUD4;LOC339290
KRAS;BCL9;BNIP3L
PLEKHO2;NKX2-2;UAP1L1
MYOZ2;GMEB2;LCORL
CTCFL;GLCCI1;MLLT10
C1orf57;KPNA3;ZFX
SGIP1;ORC2;EVI5
TJP1;NHS;PTPN20A
PGGT1B;SEC22C;BCL2L11
C16orf52;FAM214A;OR11A1
LOC647121;CDH20;ACTR10
KLF10;ARID4A;TIMP3
SP3;AFAP1L2;ZNF480
EXOG;RFX7;ELMOD2
CCDC52;SLC6A9;GDA
VIM;ICK;MBOAT1
SULT1E1;SCN8A;NDUFAF4
CLCC1;CCDC120;L3MBTL
ABCC9;FZD2;ELL
PKDCC;TP53INP1;CDK17
CCDC73;FAM124A;WBP4
C9orf85;CD2AP;TNFRSF10B
ZNF521;FST;LYST
PHF17;MAP4K4;ZNF274
ATP1A1;FAP;METAP2
S100PBP;KIAA2026;COBL
BDKRB2;NHLH2;KITLG
AGTPBP1;FAM81A;APLP2
LOC100128505;LPPR4;RGS22
CELSR3;STK39;TMCC1
CAP2;AFF3;ZCCHC10
SH3YL1;POLR3G;OSBPL1A
TPH2;C7orf60;BEAN
SPHKAP;CBLB;GNAQ
PIKFYVE;ATP2B1;HDAC9
MED29;USP45;RNF7
SLC29A3;ARID5B;CDHR3
E4F1;SLC7A11;ARHGEF6
PDK1;CACNA1C;EYS
LDHAL6A;WIPF3;ZNF644
PTPRD;CPSF6;POP1
KIF20B;SDK2;SLC35A5
KIAA1432;DDI2;SNX6
SPAST;UCP3;ELOVL2
DMXL2;GNPDA1;KCNJ3
LMBR1L;ARL4A;DENND3
BCL2L11;MAP3K12;MPZL2
BRD1;RAB3D;FOXD1
TPTE2;ACVR1;OSBPL11
STX16;XKR4;SOD2
URGCP;RLIM;KIAA1715
CEP170;DPY19L1;DCLK3
CABP4;SH3RF1;LOC257358
MYEF2;LPP;TRIM23
RAD51C;WIPF1;FIP1L1
TTC39B;FBXO32;GABRB1
PARP16;ZDHHC17;STX17
OR11A1;PARP16;TMCO1
HCLS1;ZNF644;ERLEC1
PLEKHB2;VPS53;GALNT11
LOC643327;MID2;ZYG11B
CDK19;UBE2R2;NOL12
NPHP1;R3HDM1;FLJ43315
NEK2;DOLPP1;BIRC6
PPME1;PDSS1;CENPQ
FAM3C;ACAP2;MAST2
GATM;CARS;PLAGL2
SEMA6A;GJA1;ALS2CR8
PATL2;SOX13;SEPHS1
SMYD2;BNC1;CHCHD5
BCL6;FAM210B;GULP1
GCH1;LMBR1;NEUROD1
PPARGC1B;RAPGEF2;ATP6V1B2
KIAA1841;PXN;CBX3
ZNF280B;NR5A2;C2CD2
C18orf19;EPHB2;UQCRB
TMC5;CPNE8;RNF149
MAPK10;OVOL1;SLC22A10
SH3D19;AP2A1;SEH1L
PDE4D;Mar-04;GALR1
GANC;FYCO1;VENTX
ACTR3B;BCL2L11;ABCA11P
UBE2I;KLF13;PBOV1
POLI;RFX3;NDUFS5
ARHGEF10;PPP3R1;SPAG9
FAM179B;ARID4B;SCN2A
MPDZ;CCDC6;D4S234E
RPL23AP82;SLC35D3;PITPNB
LRBA;HEPHL1;FAM196A
FGF14;NR4A2;SON
TMED10;WNK3;STOX2
SCMH1;DNAJC13;TRPA1
ITSN1;KLF12;RCE1
MYO1B;NECAP1;DGKE
NR4A2;PAXBP1;C3orf63
RCAN1;PER2;GANC
TBCA;PRRT2;USP2
ACTR10;C11orf84;RUNX2
UBE2D3;TRIO;CCM2
ZMYND11;SAR1B;USP22
ATL2;PRCD;MYO3B
LOC284861;RHEBL1;MICAL3
RAB3GAP1;ITGA6;PHF16
IFIT5;ZBTB18;MAT2A
USP2;KLF9;MYLK3
TCHH;LRFN2;SSX2IP
Sep-07;FAM217B;CNR1
SH3BP5L;TBC1D10B;CDC42BPA
PPP2R2B;VAV3;NAGPA
POLR3G;NTNG1;FBXL13
CPEB3;RHOB;LOX
CDH2;ZNF148;C16orf73
RAP1A;EML4;CSMD1
PDGFRB;PITPNM2;NR5A2
GNAO1;MSI2;FGF21
KIAA0040;MYLK;NEFL
ETV5;NRG3;DEPDC1B
TBCEL;CCNE2;RNF44
SYT14;ZBTB11;LRRFIP2
BAG4;RAP1B;TRAPPC6B
STAT1;HOXA1;ATG5
SNX30;SLC38A4;FAM46A
KCTD9;WDR44;TNFSF9
SRPR;ZFC3H1;SLC35F3
WHSC1;NEUROD1;SLC6A3
JAKMIP3;RBFOX1;FBXW8
RPP21;KHNYN;BCAP29
RAB23;MDM4;LOC285419
PCNA;CSNK1G1;REEP1
PTEN;NRK;OMG
ASXL2;EXTL2;LOC255187
PDSS1;PHTF2;C12orf61
UBQLN2;LRCH2;MTHFD2L
NAPG;EEF2K;LOC727896
SEZ6L;HDAC5;GPR125
CCDC14;IPMK;LCLAT1
KIAA1530;GIGYF2;OTUD4
SLC10A7;TWF1;STC1
TIMP3;MICU3;MDN1
ZFP1;GNAQ;ANKRD62
IRAK1BP1;ARHGEF3;TMEM20
WDR44;ZNF280B;TTBK1
CTSK;SLC22A5;FSTL4
GNAI2;KRAS;CCNK
AP2A1;FAM73B;ZDHHC21
CRMP1;PRKRIR;ABCA9
SMEK2;NUAK1;SSR3
COMMD3;ONECUT2;ESF1
RUNX2;CEP85L;FHOD3
SPIRE1;SETD5;C3orf55
RBMY1A1;PITX1;ANKRD17
PHF6;TNPO3;SUB1
MLL;DAAM2;FOXJ2
ZNF480;ZDHHC14;TMEM85
P2RY10;ZNF652;C14orf181
ATP11B;SGK3;COL25A1
CIT;C8orf44-SGK3;TPRG1L
DHX9;ZNF264;FBXO39
C10orf118;P4HA1;KIAA1804
CDCA8;MBNL1;SNIP1
ADH4;HOXB8;OSGEPL1
GNPDA1;ZNF711;SLC44A3
CAMKK2;FAM91A1;LOC285026
OLFM4;SKIL;LRFN2
TRAF3IP2;CALCR;C1orf174
ZNF638;FANCF;HEPHL1
ARPP21;VIM;SPSB4
ZNF286A;TUBGCP3;SCML1
DGKH;EFR3A;FN3K
LIPG;SNX16;JPH4
GLS;ARAP2;STIM2
NSF;LUC7L2;RPUSD4
MED20;KIAA0408;FRG2C
MOCS2;C7orf55-LUC7L2;NCRNA00103
STOML1;TBPL1;ARHGAP32
CDK8;TMEM106B;RAI14
LARGE;POU3F2;PSME3
RNF103;SLC35F4;BTBD10
ZNF860;DDX46;MICB
RBM43;SEC61A2;CACNB2
FAM153B;COTL1;PHTF1
CALML4;PRPF40A;ATP8A1
SACS;MFSD11;B4GALT6
COL13A1;AP1S2;ABCC9
OLFML2B;ASB4;KIAA1841
CRB1;MTHFD1L;Sep-07
NBLA00301;STXBP5;KCTD9
RDH5;RIMS1;FGD6
C21orf91;MSANTD4;TBC1D10B
PAR-SN;AZIN1;AP1B1
RAD23B;SRSF10;DENND4C
ARL6;NRBF2;ZBTB7C
C8orf59;IER5;SLC38A4
CDK14;PLS1;FRMD4B
TAC1;PRRG1;PPP1R2
MSL2;GNA13;PHACTR2
CCM2;ATL2;BCLAF1
NEDD4;FAM13C;MST1P9
PIGA;SCAF4;ACTL6A
MOBKL1A;FXR1;FAM57A
IL28RA;ELMO1;ZC3H6
EHBP1;ACTN1;ZNF585B
MPPED1;ADAMTS14;KLHL28
RBM7;GLUD1;PGM2L1
SLC5A11;RASGEF1A;PAAF1
ZNF384;JUNB;TCTE3
FAM69A;PABPC1L2A;ACP2
RNF34;HTRA3;PPP1R2P3
LOC29034;RANBP9;CATSPERG
DNPEP;TEX2;GUCY1B3
KIAA2026;CTPS1;C13orf15
BID;TRIM9;FRS2
SEC24D;NR3C1;SC5DL
CYP4B1;MAB21L1;ARL10
TPP2;OCLN;FRG2
RSBN1;RAB33B;VAV3
YTHDF3;NR2F2;MED28
SPATA2;AP3M1;C8orf83
ZEB2;CBX2;MTBP
SLTM;DLGAP2;WDFY3
FAM133B;CPOX;UBQLN4
NPM1;PABPC1L2B;GOLGA8B
DAZ4;GPR137C;ITGA5
FAM190A;TPM4;PEX3
ODZ1;IRS2;LASS6
ATP8B4;HOXB3;ZFYVE26
EIF2B1;FOXN2;C2orf65
C10orf137;LATS2;BECN1
LRRC7;MARCKS;TMEM183A
TRIM55;CHIC1;USP44
ACSL4;KDSR;LOC340094
CALM2;RASEF;KSR1
XPO1;YWHAG;SLC22A5
PLIN1;GABRA5;TSPYL4
NECAB1;ADAM12;PNMA1
SUN1;GRK5;ZCCHC4
DONSON;KLHL23;CXCL11
PAM;CHD9;KIAA1467
FBXO31;GAS2;LOC100132352
AK3L1;PCGF3;GOLGA8A
TSPAN8;WDFY3;SORCS1
SLAIN1;PIEZO2;SCARA3
P4HA1;EOGT;PRKCB
AKAP9;MAP3K1;LOC100127974
RAB32;NEGR1;SPDYA
FRMD6;N4BP2;ZNF770
BRPF3;GUF1;LOC388692
HEATR5A;SNX27;DAPP1
C12orf39;TTC39A;IL21R
ARHGAP17;UST;PIP4K2B
FANCM;BCL6;PHC3
CBLB;PHF13;NAMPT
CECR2;ZBTB10;RASL12
TGFBI;GOT2;SYNE1
RAP1B;ZFP36L1;HELZ
ZNF800;NOVA1;C13orf23
KIAA1370;PUM2;ZNF507
SAMD5;ZIC2;SENP5
HLA-DPB1;COL4A3BP;IRAK1BP1
DCBLD1;SLC38A1;HAO1
MAP3K12;CNTN4;TNFAIP2
IQCB1;BDNF;ZC3H13
KCNT2;NREP;ZNF831
TTLL12;DGKB;RPL36A
MGEA5;EYA2;FAS
ZNF175;SMARCD2;HTT
ALKBH4;MYO9B;CLEC4D
C6orf201;ACSBG1;SCML2
CBS;FAM109A;SFXN1
SMNDC1;CEP44;SLTM
ABCC10;PLCG1;ALG10
SYNJ2;DDAH1;SNORD108
ELMOD2;ATP8B1;RMND5A
SMN2;PTBP3;ANKHD1
RNGTT;PPP3CB;TM4SF20
CD300LG;SNAPC3;DDX60
TMEFF2;DTNA;DGKZ
MACF1;PAX9;MPI
HIBCH;ELFN2;TUSC3
PDZRN3;FAF2;FOXRED1
