miRanda;target scan;ARL6IP6
SFRP2;;DDX20
ITSN2;;UBR5
FAM23B;;SFRS2
PWP1;;MTRR
C22orf40;;AP4S1
PCDH9;;Mar-07
ATRNL1;;AGPAT9
PLEKHA3;;TMEM207
TNPO1;;PPM1B
LUZP2;;RAB27A
RNF169;;ASZ1
MYLK;;RAB28
PRKCI;;CDH8
DHRS1;;SPAG16
NTRK3;;TMEM182
B3GNT5;;USP42
TAB3;;MIA2
ATG3;;FAM131A
LOC219688;;USP9X
FAM13B;;DYNLL2
RCBTB1;;FMR1
SLC14A2;;IKZF5
UBE2D2;;CCBE1
HEXA;;LOC100129620
FANCL;;THOC2
GLCE;;PSG5
BCL2L14;;NMD3
CADM2;;ITSN2
FIGN;;PLEKHA3
CPNE2;;NARS2
TMEM209;;FOXN2
KRTAP26-1;;TP53TG3
METTL13;;SENP8
UBE2W;;C12orf12
PAIP2;;CDC23
IDH1;;NUPL2
C7orf43;;RPGR
CLDN22;;RAG2
RNF135;;SIX6
ANKRD43;;DPYD
RRM2B;;KU-MEL-3
ATP9B;;RMND1
MACROD2;;ZBTB1
C11orf21;;SEMA3D
RNF17;;RBM46
C2orf65;;MBD2
FAM24A;;IMPG2
PDCD6IP;;C13orf1
HSPD1;;TRIO
CMTM4;;ACTR3B
RECQL5;;RPL23AP82
GNAS;;SMEK2
IL1A;;ARPP21
RNF165;;BRPF3
DET1;;C17orf57
EFCAB2;;BZRAP1
GALNT6;;PPP1R13L
FSHB;;NCOA2
SCLT1;;CORIN
TNRC6C;;RAB1A
DDHD2;;TRAPPC2
SLC30A10;;NPC2
C9orf72;;NTF3
ZC3H14;;ESRP2
RHCE;;CEP110
TNFRSF19;;ANP32B
ZNF547;;CGA
BECN1;;C1orf110
NEGR1;;TRAPPC2P1
TMEM183A;;TBX22
MDN1;;TOR1AIP2
VANGL1;;H3F3B
ZFYVE28;;NPAT
USP44;;ZFP161
KIAA1310;;NOVA1
LOC340094;;PGCP
ATP8B2;;C3orf15
PLA2G5;;C3orf34
CTCF;;CHSY3
FBXW10;;HEATR4
C7orf28B;;ETS2
KIAA1199;;CRLS1
ELAVL2;;ACBD3
MS4A7;;ROD1
CBWD1;;TEX12
DLG5;;MECOM
RNF160;;CYP3A4
SLC44A1;;COL6A3
SIPA1L2;;C19orf39
MTMR1;;TIAM2
G3BP1;;KERA
YWHAH;;KBTBD3
NT5C1B;;GIMAP4
C1QTNF3;;VCAM1
C3orf19;;TMEM55A
PDCD5;;SKAP2
SH3GLB1;;SLITRK3
WDR45L;;PARD6B
ITGA4;;RLN2
DDAH1;;NUFIP1
TRIM13;;LRRN1
DCUN1D3;;CADM2
KSR1;;G3BP1
FBN2;;PDCD5
GK2;;CDH11
TPO;;NOTCH1
ANKRD22;;JAG1
CDC42EP3;;PDC
CHI3L1;;SOX2
SNORA11D;;DACH1
SI;;MAGEB18
NDNL2;;ANAPC10
HOXA13;;C7orf41
SAP30BP;;CCL20
FAM161A;;THUMPD2
FAHD1;;NUP98
DNAJB6;;VTA1
C9orf156;;PMS2L5
ESRP2;;GALNT12
LIX1;;RBM44
TBC1D5;;COQ10B
APBB1IP;;GIPC2
DACT1;;FAM71F1
TICAM1;;GBE1
PFDN4;;MPHOSPH6
MGC12916;;EIF4G2
EPN2;;ABCC4
EPHB1;;CCNG1
RND3;;GRM7
DPYSL2;;RELN
B3GNT6;;PHF20L1
ANKRD62;;SMC2
CA10;;PECR
RBM33;;CYP2C9
GMEB1;;PGGT1B
ERO1LB;;MOBKL1A
ZNF337;;DONSON
ADAMTSL1;;NUP153
NCRNA00219;;ST18
ITPK1;;GALC
ATP5G3;;PFKFB2
PNPLA1;;RERE
HSF5;;C10orf119
DGKI;;GSK3B
PIK3R4;;SEC24B
BBS5;;OAT
CNTD1;;SERPINI1
CYP3A5;;AMMECR1
ZDBF2;;UBE2E3
PTHLH;;ALS2CR11
AZI2;;JAZF1
KCTD1;;ZNRF3
PSMD5;;CLNS1A
GYS2;;MARS2
SLC22A5;;WDR45L
LRRC9;;ATP2A2
MAML3;;DNAJC19
NARS2;;BLCAP
YES1;;C6orf57
PRMT6;;UQCRQ
ZCRB1;;CACNA1D
RSPO2;;RUNDC2C
ATP2A2;;TNPO1
PTP4A2;;SF3B1
CCNF;;C2orf80
TMEM20;;MTERFD1
RBMY1B;;TAF2
GATA6;;CAND1
SMEK1;;KHDRBS2
TTBK1;;IER5L
DSTYK;;CCNC
ZIK1;;ESM1
RHPN2;;SHISA5
C1orf135;;CNTN4
ADAMTS9;;PRRG1
ARX;;CDKN1C
SMARCD2;;PKDCC
FGF18;;AGTPBP1
MYO1D;;LRBA
ZNF510;;WHSC1
UBE2L3;;DHX9
ICK;;KIAA1033
C1orf14;;PAN3
NRP1;;DENND4A
TSPYL4;;WBSCR22
CYorf15A;;OSMR
QRICH1;;SCARNA15
DERA;;TMEM66
TACR1;;FPGT
KIAA1715;;ASF1A
DOCK10;;KBTBD11
ZBTB41;;DLEU2L
TMEM168;;ART3
FUBP3;;DCUN1D5
LHFPL2;;SCARF1
WDR3;;ZNF823
GPR88;;ANAPC1
LOC677759;;SLC4A1AP
C2orf58;;TAF12
C3orf55;;ATG4C
CDH11;;TLR3
FSTL4;;SFI1
ELOVL5;;SENP7
CCNK;;USP19
ZPLD1;;ZNF828
MYL1;;PPP3CB
FAM72B;;GPC6
C2orf67;;CXCL13
SLC30A8;;CEP152
NR1D2;;PLS1
NDUFS3;;YTHDC2
CCDC152;;CD109
SUV39H2;;ZKSCAN3
VPS41;;KLHL5
MUDENG;;LOC728855
PON2;;PIGL
PTGFRN;;C4orf29
ZBED5;;USP16
FERMT2;;AGR3
CNTN2;;STXBP3
LOC728392;;TNFRSF11B
CD44;;SLC35E1
KIF16B;;TRAM1
SETD7;;C5orf47
CCDC142;;CRISP1
TTC9;;ZSCAN21
IFNA16;;SFRP2
NOTCH1;;IDH1
USP15;;QRICH1
GMCL1L;;SOAT1
ZDHHC21;;FAM104B
DNAJC19;;DSTN
C4orf34;;ZMYM3
LRRC36;;CD164
MKL2;;TPTE
OTUD7B;;GDPD1
LRRTM2;;BTBD8
CTNNA1;;TMEM232
DCLK3;;GBP7
SLC7A10;;C4orf33
RASD1;;TM6SF1
ZNF275;;CUX2
KCTD8;;ABCB1
PI4K2B;;BBS7
AGPS;;MYO1B
CPE;;HRASLS2
PGM2;;GRIN2A
CRLF3;;SMEK3P
STX12;;FAM174A
C15orf29;;MAP2K1
C6orf225;;CCDC28B
DST;;ARV1
RBBP5;;C5orf36
LOC645323;;TBC1D23
C1orf227;;ASB7
E2F3;;SLC25A33
IFNA10;;ZMYM5
C3orf38;;KIAA1598
TRIL;;SGOL1
SEMA3A;;TTC39B
FOXN2;;SEZ6L
SOAT1;;LYPD6
MRPS36;;MYH15
SEMA4B;;FBXO25
C12orf51;;IL26
TM6SF2;;ZNF587
MAPK6;;IRS2
TMTC4;;SCGB2A2
GLRA3;;CHCHD3
RFC3;;NAA30
VPS36;;CSDE1
USP34;;RCN2
ZNF208;;CHIC2
CEP110;;RIMS1
HTRA3;;PHACTR3
RSAD1;;RUFY3
PNMA1;;C9
VPS26B;;FUNDC1
HSD17B6;;LPPR5
C1orf9;;AHI1
UGT1A6;;PTPRZ1
CASS4;;WWP2
R3HDM1;;NFX1
IFFO2;;YY1
MRPS22;;ALDH1B1
TNXA;;RNF17
MESDC2;;C1QTNF3
FLJ10357;;GK2
VLDLR;;CDC42EP3
SLC25A12;;PTP4A2
SLIT3;;TLK1
GKN2;;FOXR2
ABCA9;;RRAGB
ACER3;;RORB
GIMAP7;;PTMA
TRPS1;;HIAT1
FGD5;;FCRL4
NUDT7;;ZC3H15
TAF4;;PSAT1
MAGEB3;;PEX12
IL5RA;;C1orf101
LOC257358;;CALCA
RYBP;;GSG2
KLF8;;SCAND2
DEPDC4;;C1orf125
HS6ST2;;YEATS4
RAP2B;;MND1
SUZ12;;TOMM40
TMEM70;;EBPL
RPP30;;RAD23A
SGMS2;;CDYL
MRPL35;;MET
DNM3;;CCBL1
PTGDR;;E2F5
C9orf6;;NID1
CLTC;;FBXW11
FAM104A;;PROS1
PVT1;;POSTN
ZFAND1;;IGF2BP2
BLCAP;;EML5
YTHDC1;;FILIP1
IFIT1B;;TRIM15
NEU4;;TTC35
AP1AR;;LIPH
ALG2;;C1orf57
USP45;;TPTE2
FAM104B;;CABP4
RANBP10;;NPHP1
SSR3;;MPDZ
BEST4;;PDZRN3
NAV3;;GRXCR1
LOC283663;;PNPLA8
COQ9;;EMP1
FAM181A;;C7orf46
SF3B1;;TOM1L1
CNTNAP1;;ARL1
DSTN;;RFX8
USP47;;C1RL
ATP2B1;;SOX6
ZMYM3;;MIPOL1
CYB5B;;C1orf144
ZCCHC4;;CTH
KLHDC2;;GREB1
C6orf115;;VEGFA
JAG1;;PIBF1
EDN2;;PLS3
CD164;;RIOK1
TPTE;;PABPC5
KIAA0408;;GTF2E2
FEZF1;;FRMD3
CUL4B;;RANBP3L
TEX10;;TEX14
PKN2;;DNAJC25
RALGPS2;;SKIV2L2
KIAA1009;;SLC3A1
POLDIP2;;MYL12B
C12orf23;;FBXO38
RBPMS;;ARL14
CAPRIN2;;MBD5
PPIL4;;SRP54
GNPDA2;;BANK1
PRMT1;;WNT2B
RNF11;;LATS2
SCD5;;DDX4
IAH1;;MRPS14
GDPD1;;ETAA1
TUBGCP4;;PSG11
MTCH2;;ZC3H7A
CKAP2;;SLK
DOCK9;;EWSR1
FAM35B;;LAMB4
TCP11L2;;UBE2E2
ESF1;;EXT1
PDC;;ITGB3BP
C8orf34;;GPRC5C
Mar-06;;TRDMT1
RECQL;;SFRS9
FYCO1;;SCYL2
FBXO34;;TPD52L1
OXNAD1;;ATP7A
HMGN5;;TADA1
CLASP2;;ZNF295
TMEM14E;;NRXN1
TYRP1;;BBS10
ARCN1;;RIT2
FLJ44635;;RNASE4
UBE3C;;LRRTM1
KPNA3;;PDCD6IP
SLC30A2;;RBM33
BTBD8;;ZBED5
C15orf2;;MAPK6
C1QL1;;GIMAP7
MAMLD1;;IL5RA
TWF1;;SUZ12
JAG2;;HMGN5
LRRC8B;;AKIRIN2
MEF2D;;LOC100129055
NAALADL2;;SLC25A15
CXCL11;;LOC100270804
RPS13;;RANBP17
TP53TG3;;C5orf41
TOMM5;;FAM47A
WDFY2;;DDX26B
KRTAP20-3;;P4HA3
Mar-04;;GRIA3
C7orf57;;CLSTN2
NRK;;LHCGR
SEC23A;;FUCA2
SYNE1;;FNDC3B
C7orf63;;DNAJB12
TMEM64;;SUMO2
AKIRIN2;;ITGA1
PHF14;;TRPC1
GFM1;;GPATCH2
FLJ42393;;PDSS2
SENP8;;PSMC6
CISD2;;PAX9
LOC100129055;;CCNYL1
KIAA1467;;KLHL17
CCDC85A;;MYCN
ATG10;;MATN3
MED27;;POM121L8P
IL27;;SLC25A42
EIF2S1;;CTF1
PTGER3;;KIF5B
UBASH3B;;RUFY2
ZNF367;;RBMXL2
CREG1;;ADAMTS5
SORCS3;;RNF139
CLPX;;MFSD11
LOC283585;;PCNT
ANP32B;;ST6GALNAC5
CYP3A7;;SPATA5L1
CA13;;ATP8B1
PRDM1;;KLRC4
C3orf43;;SBDS
ATF1;;UBE2E1
C8orf39;;ATP10A
LIN52;;LIN9
UPF2;;ZNF518B
ING5;;LOC390940
RFX7;;MUC19
ZNF706;;FAM47C
LOC641364;;FGB
SLA2;;DNAJB11
MAGI1;;INHBB
ADARB1;;UGCG
SLC25A15;;SGOL2
ZNF711;;HHEX
SFRS12;;FRMD7
DNAJC25-GNG10;;ETNK1
TBC1D26;;SLITRK6
ZCWPW2;;ARHGAP6
CCL16;;SYBU
PPARGC1A;;GRIN3A
KDM4B;;MPHOSPH9
C6orf57;;FGF14
DUSP14;;RAP1A
RPL27A;;TAC1
ADSSL1;;RBM7
NEBL;;OPRM1
PAQR9;;CCT5
CRTAM;;SNX13
EDEM3;;MED14
NKX2-2;;CD1D
DNAJC16;;DPPA3
ZSCAN12;;TXNRD3
GGTA1;;LATS1
PPTC7;;USP8
LMX1A;;GATS
KIAA1430;;CSK
SH3GL3;;PSIP1
NMNAT1;;C5orf28
UQCRQ;;MEF2A
MID2;;PITX2
SOX2;;MRPL18
TRIM61;;CCT6A
EAF1;;LOC340113
DACH1;;NCKAP5
MAGEB18;;MYBL1
LOC100132352;;PRKG1
NEFM;;RP2
TMPRSS11F;;TNFSF11
UBE2D1;;GPM6B
ST14;;OCA2
CGA;;LOC100128554
LOC100270804;;CYR61
AGK;;SART3
TMEM57;;CHD2
C19orf12;;NDNL2
SCAND3;;C9orf6
SYNGR3;;C7orf57
IFT52;;ZCWPW2
ZBTB2;;DUSP14
JUN;;TMPRSS11F
TMEM232;;FAIM
PSMD7;;PTPLAD2
USO1;;ABCC13
C1orf110;;KIAA1012
PYROXD1;;CDC5L
PNPT1;;XRN1
RANBP17;;ZNF470
C8orf42;;LOC84989
MED18;;PURG
AARSD1;;C15orf61
FAIM;;HPCAL4
BAZ1A;;ZNF780B
PRKCB;;TBPL1
SLC35F4;;C1orf105
TNFRSF10D;;SPTA1
CEP192;;FOXD3
WDR27;;FZD5
ENPP5;;XPO5
MLL2;;IL8
SDCCAG8;;PPM1D
ROBO3;;HRSP12
PTPLAD2;;PGBD4
HSP90AB2P;;STELLAR
KHDRBS3;;DUSP27
CYP19A1;;TTC18
TRIM23;;SLC24A4
PURA;;RBMY1F
GBP7;;DAZ2
DLL4;;UBXN2A
CXorf48;;ASB15
C4orf33;;HSPA1B
FAM178A;;RNF19A
EIF2S3;;SP3
TMEM217;;LOC284861
LOC339529;;KIAA1530
CLEC2D;;RBMY1A1
TM6SF1;;OLFM4
PIP4K2A;;DAZ4
STS;;TRIM55
UGT1A1;;SUN1
ABCC13;;TIGD7
KCNK1;;BAG1
ATAD1;;DEGS1
DDIT4;;CNN3
ERMN;;HAUS6
C14orf106;;HMGCR
THSD7B;;UGT2B10
TRAPPC2P1;;ZNF530
MAP4K5;;LOC729444
ABCC5;;DAZ3
EFCAB5;;SOAT2
PABPC1P2;;DCN
C16orf87;;PPARG
FAM71D;;MRPL49
DNAH14;;OPTN
HSFY2;;SLCO3A1
FAM40B;;THRAP3
CNTN6;;GRID1
HERC3;;TSPAN12
ALS2;;STK3
CACNA1D;;GAS8
FLJ44313;;JAK2
GRHL2;;KCNK10
CPNE3;;HEMGN
ANAPC10;;SYNGAP1
CTXN2;;C3orf1
ANKRD17;;KIAA1199
KCMF1;;HSF5
NIPSNAP3A;;RBMY1B
ZNF750;;RFC3
PARVA;;TAF4
NIT1;;RNF11
FAM47A;;HPS3
RAPH1;;MED18
ID4;;MAP4K5
BEND3;;PARVA
FSIP1;;VCP
CENPE;;SPAG1
SEMA3D;;GRPEL1
COL9A3;;MAB21L1
POU4F2;;FGG
C7orf41;;TTC14
ADPRHL1;;RBM34
ZCCHC2;;CCDC112
CCR2;;SYF2
OTUD6B;;LOC147670
C12orf12;;FLJ40330
TM7SF3;;RPL23
SNRPD1;;HCN1
LOC642236;;CEP164
PDS5A;;GLYATL3
C3orf57;;RBM27
STRAP;;PL-5283
RNF213;;LIPJ
C4orf46;;CBLN4
CPD;;TSEN2
COX15;;VIT
VCP;;OGT
AFF4;;TMEM143
KCTD16;;IL12RB2
SMARCD1;;TLR8
LOC440419;;SCMH1
CDC23;;ZMYND11
SLC25A25;;CALM2
GOLGA8A;;ARHGAP17
CPOX;;SYNJ2
CUX2;;MTF1
RNF175;;CIB4
GCLC;;PRPSAP2
MKRN3;;VCAN
GLDC;;C12orf32
PTCD2;;ROCK1
LRRC40;;SLAMF1
KL;;AGAP1
PABPC1L2B;;RBBP6
ZAK;;SLC25A24
GLG1;;TYRO3
LOC220429;;RYK
C7orf31;;B4GALT4
PDXDC1;;POLK
MBD6;;KDM2B
GAPVD1;;FBXL16
TRMT11;;BBC3
DDX26B;;UNKL
PPEF2;;SFRS15
TLX1;;MARCKS
RIC8B;;ACAD11
BANP;;WNK1
HDGFRP3;;SIAH1
IGF2R;;LOC150786
SPAG1;;LRRC37B2
C13orf37;;ZKSCAN2
ANTXR2;;LYVE1
PUS10;;GOSR1
AGPAT6;;CAMK2G
PKHD1L1;;ARHGAP15
P4HA3;;RBM15
P704P;;CPNE2
EDC3;;C7orf28B
C5orf44;;MUDENG
MEGF9;;KIAA1009
GABRB1;;MEF2D
LOC729852;;HSP90AB2P
HINFP;;KCMF1
DNAJC3;;FSIP1
AP1S3;;SDCCAG8
SNAI2;;C7orf31
FLJ36031;;PAX3
CCDC93;;TMEM17
RPS6KA2;;NECAP2
GRPEL1;;TMEM30B
FAM177B;;GPR128
CRP;;C13orf38
CD80;;SNAP23
RPGR;;MTA3
NRIP1;;RLF
ARL15;;JRKL
ABCB1;;LRCH3
FLJ41484;;AKT3
HK2;;FAM122C
ANKRD20A4;;DLC1
PGP;;IL13RA1
CARD14;;MAGEB2
PLEKHM3;;PLK1S1
NF1;;LOC729082
SLC35F1;;NPY
PDE6D;;POLR2C
HOXA11;;IVNS1ABP
TBX22;;USP40
WDR33;;SLC32A1
TRAK1;;ABHD3
MGST2;;RTN4IP1
SCARA3;;UBE2CBP
FAM23A;;C10orf79
KILLIN;;LRRC38
MYPN;;CAST
C8orf76;;ALCAM
STX17;;CALCOCO1
AVEN;;DYT3
C18orf16;;LPAR1
MEX3B;;ZNF326
YOD1;;KLHL1
ZC3H8;;ANG
ERAP1;;HP1BP3
TRHDE;;HNRNPH3
DSG1;;EXOG
TLK1;;CCDC73
IKZF1;;NEK2
RGNEF;;FAM3C
TOR1AIP2;;SH3D19
SUB1;;NBLA00301
MAFB;;ZNF384
MAB21L1;;RNF34
TMCO1;;SLAIN1
GADL1;;AKAP9
CCDC43;;ALKBH4
GRIA3;;SMN2
UCP3;;RAB5B
LOC285359;;CMPK1
ZFP28;;MERTK
MAN1A2;;TMEM202
GAS1;;KIRREL2
SUCLA2;;ZNF37A
LOC100127974;;KTN1
YLPM1;;DMXL1
NPEPPS;;CHCHD7
VKORC1L1;;EGR3
FAM120A;;TDRD6
AASDH;;ZNF804A
SDC2;;REPS1
CNKSR3;;PDE12
MARCKSL1;;PCSK2
SLMAP;;LPAR3
C10orf112;;MID1IP1
ZIC1;;KLF4
CLSTN2;;USP24
H3F3B;;EIF4G3
ERLEC1;;VNN3
RNF157;;FAM76B
GNB4;;PKD1L1
ZNF286B;;KIAA0317
FGG;;PRDXDD1P
FBXL14;;CYTH1
ANKRA2;;IL33
SYCP2;;HADHB
RCSD1;;VEGFC
LHCGR;;SCN4B
ZFY;;MGC11082
ZNF233;;TSPYL2
SPDYA;;SLC35F5
RALGAPA1;;C17orf98
ZNF770;;CCDC92
FUCA2;;PALMD
CAMK2N2;;RFPL3
MAN1B1;;PTPRM
SOX9;;PSMA2
ADO;;ADH1A
SLC4A10;;PPM1L
TM4SF19;;PRDM5
PRUNE2;;NMI
RASGRP3;;SP2
SNORA60;;MICAL2
CLDN8;;CCDC148
CD302;;ZNF747
MACC1;;IFT88
SLC5A12;;RGS21
ZNF333;;C8orf45
GABRA5;;PIWIL3
MNS1;;TUBB3
LOC388692;;SOCS2
FBXL17;;ZNF624
GAN;;VPS29
ESCO2;;GMFB
TMEM17;;CCDC82
HCP5;;PODXL
PRDM13;;BTG3
GLYAT;;GNA14
NUP188;;CDC42
FGFR1;;KBTBD10
C1orf124;;WTAP
NECAP2;;EP300
ZNF491;;WSB1
TTC14;;HELLS
CDC5L;;IL17RB
ABHD6;;MARVELD2
FOXR2;;ATAD5
BRP44L;;WNK3
PQLC3;;ALPK2
SRA1;;CMTM8
BTF3L1;;C11orf61
ZSCAN22;;PDK4
RAB15;;CROT
MRPS18C;;ZRANB3
LOC152742;;PROX1
TRIM2;;MAP2K6
ATG12;;BHMT2
ECT2L;;SNX3
DAPP1;;SEMA4D
SOBP;;POLA1
ELOVL4;;FGF9
DNAJB12;;TMSB4X
PRCD;;CHSY1
ZBTB6;;SLC14A2
CBX2;;EFCAB2
CCL20;;ZC3H14
GTF3C3;;RHCE
LOC283508;;VANGL1
ADAMTS6;;ATP8B2
PART1;;FBXW10
NTS;;SIPA1L2
LOC151162;;SI
SUMO2;;LIX1
MMAB;;PTHLH
AQR;;ARX
TMEM30B;;DERA
NBPF9;;MAGEB3
PPID;;RPP30
XRN1;;EDN2
LOC203274;;CKAP2
SLC23A2;;RECQL
PCDHB10;;UBASH3B
CCDC110;;CLPX
SLC24A3;;NMNAT1
ANO4;;PURA
ZNF597;;ZNF750
ATP6V0A2;;NIT1
GREM2;;CENPE
GRAMD2;;COX15
TP53INP2;;LOC220429
TPTE2P1;;TRHDE
CCDC144A;;DSG1
ZNF470;;GAS1
STAU2;;SYCP2
GALNT3;;HCP5
PRMT2;;NTS
RRAGB;;AQR
RBM34;;CCDC110
AHNAK;;PRMT2
RAG2;;ADH1C
HFE;;HSDL2
ITGA1;;NCKAP1
C6orf174;;DNAJC24
FERMT1;;TAS2R20
DUSP10;;FOXC1
CTRL;;ADSS
FOXJ2;;PDE4DIP
C19orf50;;RAD54B
SSTR2;;JHDM1D
WDR36;;ZNF292
FHDC1;;IRGM
TES;;ZXDB
SPATA4;;SFRS2B
ENC1;;ZNF80
THUMPD2;;RLN1
DEXI;;IFNA8
NPAT;;SAMD8
IL21R;;THBS2
PDGFA;;PMS1
LEP;;Sep-15
RTKN;;PCDHB12
ADH1C;;ZSWIM6
SOX30;;ANKAR
TRPC1;;NAP1L5
CCDC112;;CD300LB
RAI1;;NR1H4
RORB;;FLCN
MTMR12;;DSN1
EEA1;;C3orf67
PIP4K2B;;CSNK1G2
TMEM85;;ADRB2
GPRASP2;;ERBB2IP
DAG1;;WBP5
PHC3;;IP6K2
FAM125B;;CCDC111
SFRS14;;PRIM2
SDAD1;;PLEKHG4
ARID3A;;C1orf55
C14orf181;;HNRNPD
GJA1;;STAMBP
CAPZA1;;NPNT
STK39;;MANSC1
LOC440248;;RAI2
TAF1L;;SRFBP1
GPATCH2;;C16orf52
FAM123B;;PHF17
TMED2;;KIAA1432
STAT4;;TBCA
FLJ43963;;IFIT5
FAM136A;;MOCS2
CACNB4;;CDK14
HSPB2;;C10orf137
LOC84989;;AK3L1
MAP3K2;;HLA-DPB1
OVOL2;;HIBCH
BBS7;;AKTIP
PNKD;;PPP1R2P1
HTR2C;;CC2D2A
HSPA14;;FBXW7
FAF2;;ITM2B
PCM1;;FGF13
CDC73;;ERP44
AP3M2;;RPS6KA4
FZD10;;CRH
CEP70;;ARHGEF2
TMEM47;;CD200R1
IREB2;;NPL
RABL2A;;CBWD3
HSDL2;;C3orf14
GPR128;;ZNF439
FBXO45;;SHANK3
C13orf38;;B3GNT2
C11orf58;;KCNJ6
SIX6;;COL5A2
CPSF2;;GTF2IRD2B
PLA2G4D;;MSR1
CFDP1;;EIF3H
FRAT2;;DENND2C
FAM133A;;MAPKSP1
NCKAP1;;TBCCD1
SDPR;;MREG
NOL12;;ADAM21
SYF2;;CNTN5
ASB3;;C15orf48
GPR126;;LNX1
SNAP23;;DSE
C9orf153;;C15orf21
FAM109A;;SLC17A6
MRPL46;;MCOLN3
ZBTB24;;SKP1
HRASLS2;;CELF2
FAM66D;;PDE6H
GCG;;SGK1
TOMM20;;SPTBN1
DHX36;;FBXL3
TMCO4;;GRPEL2
AP4E1;;LRP11
TRIM44;;DUSP7
SYNE2;;GNAI1
RUNDC2C;;LRRK1
PSMC6;;MBLAC2
EN2;;RCBTB2
ZSWIM2;;USP46
SEC16B;;NUPL1
PURG;;ATF7IP
PAX9;;PCYOX1
LRRIQ1;;LOC203107
WDR67;;SOS2
TLE1;;SET
DDX27;;PTPRC
SLC30A4;;ALDH6A1
VIP;;IRF2
RAB41;;TMEM133
RNF138;;APOBEC3H
ITIH5L;;IL12B
PIGB;;GTF2IRD2
GRIN2A;;APIP
SYN2;;ARMCX3
DPYD;;NIPBL
ACSM2A;;RIBC1
HSF2;;JPH1
H6PD;;NMNAT2
RCOR1;;DHODH
MPZ;;PRCP
WDR26;;APH1B
TMEM107;;IQCH
SETBP1;;CD38
CCNYL1;;TPBG
VENTXP1;;ADCY7
GRB2;;MAP3K7
NUP98;;TMEM185B
FNIP2;;GLT25D2
OSTM1;;ANO3
ZCCHC14;;BUB1
HECW1;;C20orf103
CPSF3L;;HUWE1
FLJ43315;;TCHP
UFM1;;MYCBP2
GPR19;;CXorf58
FAM46C;;RASA3
ARRDC4;;ATXN2
SRGAP2;;KIAA1324L
CCNL1;;UBE2W
KLHL17;;EPHB1
MTA3;;GMEB1
ZNF292;;ATP5G3
PSMD9;;SMEK1
COL25A1;;FGF18
DPY19L4;;UBE2L3
ARL5B;;WDR3
C3orf23;;CD44
NAMPT;;TRIL
C15orf61;;MRPS36
NLGN1;;SLC25A12
TFDP1;;CNTNAP1
STX2;;KLHDC2
ZNF451;;TEX10
TPRG1L;;PKN2
RASL12;;KRTAP20-3
RNASE13;;CYP3A7
HELZ;;CRTAM
BIRC6;;LMX1A
TTC30A;;TMEM57
C10orf25;;IFT52
SBK1;;ROBO3
RGS11;;TMEM217
ADRA2A;;DNAH14
C1orf112;;CNTN6
PELI1;;CCR2
SSH2;;HINFP
TMEM196;;HK2
PTMA;;AASDH
RLF;;GLYAT
PIK3R2;;NUP188
LOC100129940;;C1orf124
TMTC3;;ELOVL4
KIAA0776;;MMAB
ZFP161;;GREM2
CRYL1;;FERMT1
RTN4R;;SPATA4
ATXN8OS;;SOX30
KLHL29;;TAF1L
NCOA7;;HTR2C
ZBTB44;;SETBP1
VENTXP7;;CCNL1
LOC147670;;MAPKAP1
ADAMTS19;;PTH
PIP5K1B;;NSUN7
C13orf23;;NHSL1
CENPQ;;LHX9
FAM168B;;AMMECR1L
TMEM14B;;LOC285456
CNGB3;;C20orf11
SH3RF1;;FAM135B
ARHGAP10;;NSMCE2
VTA1;;C2orf72
NOTCH2;;PLA2R1
USP53;;SNF8
LOC286059;;GRIA4
ZNF197;;RPS6KA5
TBX5;;FMO9P
MAP6;;PTF1A
AFG3L1;;PHF2
GLT1D1;;RAB31
HPCAL4;;LMTK2
ATP6V1H;;ADAM17
GRM6;;HKR1
ADAM18;;TMEM132C
DNAJC24;;BCHE
MAST2;;UBAP1
FLJ40330;;UBE2K
KCTD5;;RNF38
ZNF780B;;C9orf68
ATAD2B;;C8orf85
MYCN;;SLCO1A2
HNRNPA1;;VARS2
BAZ1B;;SNRK
PMS2L5;;AKAP1
MAP3K5;;KHDRBS1
INTS6;;ATP1A1
SLC46A2;;CAP2
SENP5;;TMC5
C10orf4;;TCHH
TSHZ1;;POLR3G
KDM3A;;SPATA2
JRKL;;COX7B2
ATP2B2;;TLE4
RAB38;;ZBTB49
ZNF551;;MYOM2
HIAT1;;WAC
TMED10P1;;CBX1
CECR6;;CDH6
CHD9;;YAP1
SPDYE8P;;MAEL
PLAGL2;;IFT57
LRCH3;;SFRS11
CKAP4;;SYT4
PTH;;MYCL1
MGC31957;;ZNF334
RGAG1;;DNAH7
NAA25;;REG1B
FBXO39;;ZNF549
FAM35B2;;HULC
SERPINF2;;TMEM215
RBAK;;HOMER1
SMEK3P;;C9orf103
NSUN7;;FREM2
TAS2R20;;KCNB2
C4orf3;;NDUFAB1
PPM1E;;SLCO1B1
LHX8;;SSB
GLRB;;MAL2
BRWD1;;ZIC5
VAT1L;;NAAA
FMR1NB;;IMPAD1
RAB39;;ERC2
TMEM18;;CNDP2
KIAA1804;;ESAM
SNORA11B;;PFDN4
CHD7;;SLIT3
PNP;;RPS13
HMG20A;;ATG10
NHSL1;;LOC641364
DDX52;;SFRS12
FKBP3;;ST14
BZW2;;ZBTB2
TMEM26;;CXorf48
C2orf80;;FAM40B
HNRNPA3P1;;ZMYM2
CHST2;;GLG1
